account,as_of,name,code,type,amount,shares,cost_price,open_date,pnl,daily_pnl,note
jasy-alipay-fund,2026-08-12,摩根士丹利健康产业混合A,002708,混合型-偏股,7730.40,3756.27,2.396,,-1269.62,71.89,健康产业主动基
jasy-alipay-fund,2026-08-12,广发中证全指金融地产联接A,001469,股票型-行业指数,4241.54,3465.59,1.0298,,672.67,-14.42,金融地产指数
jasy-alipay-fund,2026-08-12,恒生ETF联接A,000071,QDII-股票,12351.76,8145.45,1.2706,,2002.15,-129.69,港股蓝筹宽基
jasy-alipay-fund,2026-08-12,广发全球医疗保健指数A,000369,QDII-股票,17508.55,6713.40,2.428,,1208.41,231.11,全球医疗A
jasy-alipay-fund,2026-08-12,天弘中证证券保险A,001552,股票型-行业指数,9241.03,8853.26,0.881,,1441.31,-76.70,证券保险指数
jasy-alipay-fund,2026-08-12,汇添富中证主要消费联接A,000248,股票型-行业指数,1889.11,1010.38,1.862,,7.78,-20.02,主要消费指数;8/12卖出2,500份@1.8697(估,8/11净值)
jasy-alipay-fund,2026-08-12,华宝中证医疗联接C,012323,股票型-行业指数,21093.74,34819.64,0.7422,,-4749.40,-80.16,中证医疗指数
jasy-alipay-fund,2026-08-12,融通健康产业灵活配置A/B,000727,混合型-灵活,5236.49,2050.31,2.9264,,-763.54,45.56,健康产业主动基
jasy-alipay-fund,2026-08-12,天弘恒生科技联接A,012348,QDII-股票,12242.66,18588.91,0.6615,,-53.91,-224.04,港股科技
jasy-alipay-fund,2026-08-12,汇添富文体娱乐主题A,004424,混合型-偏股,3977.74,2199.59,1.8185,,-22.22,-30.23,文体娱乐主题
jasy-alipay-fund,2026-08-12,交银中证海外中国互联网A,164906,QDII-股票,5085.31,4954.03,1.0793,,-261.57,80.35,中概互联LOF
jasy-alipay-fund,2026-08-12,广发全球医疗保健指数C,016280,QDII-股票,16479.74,6424.85,2.3969,,1080.02,220.83,全球医疗C
jasy-alipay-fund,2026-08-12,富国消费主题混合A,519915,混合型-偏股,22097.63,11679.51,2.1031,,-2465.54,46.41,消费主动基
jasy-alipay-fund,2026-08-12,余额宝,,货币基金,4858.02,,,,308.57,0.00,现金管理;含8/12卖出000248回笼≈4,674.25(估,8/11净值)
